"","Hypothesis","Highest","High","Medium","Low"
"1","1","0.0 %","0.0 %","93.2 %","6.8 %"
"2","2","83.6 %","0.0 %","16.4 %","0.0 %"
"3","3","10.6 %","0.0 %","89.4 %","0.0 %"
"4","4","79.4 %","0.2 %","20.3 %","0.1 %"
"5","5","94.0 %","5.0 %","1.0 %","0.0 %"
"6","6","33.0 %","0.9 %","65.1 %","1.0 %"
"7","7","55.8 %","39.3 %","2.5 %","2.4 %"
"8","8","11.5 %","72.7 %","2.0 %","13.8 %"
"9","9a","15.6 %","20.2 %","26.5 %","37.7 %"
"10","9b","0.0 %","97.7 %","0.0 %","2.3 %"
"11","9c","0.0 %","5.2 %","0.0 %","94.8 %"
"12","9d","7.5 %","92.0 %","0.0 %","0.5 %"
"13","9e","17.4 %","66.5 %","4.2 %","11.9 %"
"14","9f","0.2 %","69.4 %","0.0 %","30.4 %"
"15","10","0.0 %","0.0 %","91.9 %","8.1 %"
"16","11","2.2 %","0.0 %","93.0 %","4.8 %"
"17","12","0.0 %","0.0 %","83.9 %","16.1 %"
"18","13","0.0 %","0.0 %","99.3 %","0.7 %"
"19","14","22.4 %","75.9 %","0.6 %","1.1 %"
"20","15","6.9 %","39.8 %","7.6 %","45.7 %"
"21","16","1.2 %","2.9 %","42.4 %","53.5 %"
"22","17","1.3 %","10.7 %","10.6 %","77.4 %"
