,Hypothesis,Expert,Magnitude,Relevance.A,Relevance.B,Reducibility
1,1,Ex1,4,2,1,3
2,2,Ex1,3,4,1,3
3,3,Ex1,4,2,0,2
4,4,Ex1,3,2,3,4
5,5,Ex1,4,2,2,4
6,6,Ex1,2,3,2,3
7,7,Ex1,3,2,1,3
8,8,Ex1,3,0,0,1
9,9a,Ex1,3,1,2,2
10,9b,Ex1,3,1,2,1
11,9c,Ex1,3,1,1,0
12,9d,Ex1,4,2,1,0
13,9e,Ex1,2,0,0,1
14,9f,Ex1,2,0,0,0
15,10,Ex1,1,0,0,1
16,11,Ex1,2,1,0,1
17,12,Ex1,0,0,0,0
18,13,Ex1,1,0,1,1
19,14,Ex1,2,1,1,0
20,15,Ex1,1,0,0,0
21,16,Ex1,3,1,0,1
22,17,Ex1,4,1,0,1
23,1,Ex2,3,2,0,3
24,2,Ex2,2,3,1,3
25,3,Ex2,2,3,1,3
26,4,Ex2,1,1,3,4
27,5,Ex2,2,1,2,2
28,6,Ex2,2,2,1,3
29,7,Ex2,3,3,2,2
30,8,Ex2,3,2,2,2
31,9a,Ex2,4,2,1,1
32,9b,Ex2,4,2,1,1
33,9c,Ex2,4,3,1,1
34,9d,Ex2,4,2,2,1
35,9e,Ex2,4,3,1,1
36,9f,Ex2,4,3,1,1
37,10,Ex2,0,0,0,4
38,11,Ex2,1,1,3,3
39,12,Ex2,1,1,3,3
40,13,Ex2,0,1,3,3
41,14,Ex2,2,2,3,2
42,15,Ex2,2,2,3,2
43,16,Ex2,2,2,1,2
44,17,Ex2,2,2,0,2
45,1,Ex3,1,0,0,2
46,2,Ex3,1,2,1,2
47,3,Ex3,1,2,1,2
48,4,Ex3,2,1,1,0
49,5,Ex3,2,0,1,0
50,6,Ex3,3,1,0,0
51,7,Ex3,3,1,1,1
52,8,Ex3,2,1,2,1
53,9a,Ex3,2,0,2,1
54,9b,Ex3,2,1,1,1
55,9c,Ex3,2,0,0,0
56,9d,Ex3,3,0,0,0
57,9e,Ex3,2,1,0,1
58,9f,Ex3,2,1,0,0
59,10,Ex3,1,0,2,4
60,11,Ex3,1,0,2,3
61,12,Ex3,1,0,2,3
62,13,Ex3,1,0,2,3
63,14,Ex3,1,1,2,1
64,15,Ex3,2,0,2,1
65,16,Ex3,2,1,0,1
66,17,Ex3,2,1,0,0
67,1,Ex4,2,1,0,4
68,2,Ex4,1,3,2,4
69,3,Ex4,1,4,0,4
70,4,Ex4,1,1,2,4
71,5,Ex4,0,3,4,3
72,6,Ex4,0,1,3,2
73,7,Ex4,3,3,2,1
74,8,Ex4,3,2,3,1
75,9a,Ex4,1,2,0,2
76,9b,Ex4,3,3,4,1
77,9c,Ex4,3,1,0,0
78,9d,Ex4,2,3,4,2
79,9e,Ex4,3,3,2,2
80,9f,Ex4,3,3,2,2
81,10,Ex4,0,0,0,4
82,11,Ex4,1,1,3,3
83,12,Ex4,0,0,2,2
84,13,Ex4,0,0,2,4
85,14,Ex4,3,3,3,2
86,15,Ex4,3,1,3,2
87,16,Ex4,2,2,2,2
88,17,Ex4,3,3,0,1
89,1,Ex5,3,1,0,0
90,2,Ex5,2,2,0,1
91,3,Ex5,3,1,0,1
92,4,Ex5,2,2,1,3
93,5,Ex5,1,4,3,2
94,6,Ex5,1,2,2,2
95,7,Ex5,1,3,2,0
96,8,Ex5,1,3,1,1
97,9a,Ex5,4,1,1,0
98,9b,Ex5,2,1,2,0
99,9c,Ex5,3,1,2,0
100,9d,Ex5,3,1,3,0
101,9e,Ex5,3,2,1,0
102,9f,Ex5,2,2,3,1
103,10,Ex5,1,1,0,0
104,11,Ex5,2,1,3,0
105,12,Ex5,1,0,1,0
106,13,Ex5,1,0,3,1
107,14,Ex5,1,3,3,1
108,15,Ex5,1,2,2,0
109,16,Ex5,2,1,0,0
110,17,Ex5,3,1,1,2
111,1,Ex6,2,1,0,0
112,2,Ex6,1,2,1,1
113,3,Ex6,1,2,1,1
114,4,Ex6,2,1,2,3
115,5,Ex6,2,2,4,2
116,6,Ex6,2,1,0,2
117,7,Ex6,2,1,1,1
118,8,Ex6,2,1,2,1
119,9a,Ex6,2,1,2,1
120,9b,Ex6,2,1,2,0
121,9c,Ex6,3,1,0,1
122,9d,Ex6,2,2,3,2
123,9e,Ex6,2,2,2,2
124,9f,Ex6,2,1,1,1
125,10,Ex6,0,0,0,0
126,11,Ex6,1,1,1,1
127,12,Ex6,3,1,1,1
128,13,Ex6,0,0,0,0
129,14,Ex6,2,1,2,2
130,15,Ex6,2,1,2,1
131,16,Ex6,2,1,1,1
132,17,Ex6,2,1,1,1
133,1,Ex7,1,0,0,2
134,2,Ex7,2,3,2,2
135,3,Ex7,2,3,1,2
136,4,Ex7,3,1,1,1
137,5,Ex7,2,1,2,1
138,6,Ex7,3,1,0,1
139,7,Ex7,3,1,0,0
140,8,Ex7,3,1,0,1
141,9a,Ex7,3,1,0,1
142,9b,Ex7,3,1,0,1
143,9c,Ex7,3,1,0,0
144,9d,Ex7,3,1,1,1
145,9e,Ex7,3,2,1,1
146,9f,Ex7,3,2,0,1
147,10,Ex7,0,0,0,1
148,11,Ex7,3,1,0,2
149,12,Ex7,1,0,0,2
150,13,Ex7,0,0,0,4
151,14,Ex7,3,1,1,1
152,15,Ex7,3,1,1,1
153,16,Ex7,1,0,0,2
154,17,Ex7,1,1,0,0
155,1,Ex8,1,0,0,2
156,2,Ex8,2,2,1,2
157,3,Ex8,2,1,1,2
158,4,Ex8,2,2,2,3
159,5,Ex8,3,2,2,2
160,6,Ex8,1,2,1,3
161,7,Ex8,2,1,2,3
162,8,Ex8,2,1,2,2
163,9a,Ex8,3,1,1,2
164,9b,Ex8,2,1,2,1
165,9c,Ex8,3,2,1,1
166,9d,Ex8,3,2,2,2
167,9e,Ex8,2,3,1,2
168,9f,Ex8,2,1,2,1
169,10,Ex8,0,0,0,2
170,11,Ex8,1,1,2,3
171,12,Ex8,2,1,2,3
172,13,Ex8,0,0,2,4
173,14,Ex8,2,1,2,1
174,15,Ex8,2,0,3,2
175,16,Ex8,3,2,2,2
176,17,Ex8,3,2,3,2
177,1,Ex9,1,0,0,2
178,2,Ex9,2,3,1,3
179,3,Ex9,2,2,1,3
180,4,Ex9,1,1,3,2
181,5,Ex9,2,2,3,2
182,6,Ex9,2,2,2,3
183,7,Ex9,3,2,1,2
184,8,Ex9,4,3,1,1
185,9a,Ex9,3,2,1,2
186,9b,Ex9,4,2,2,1
187,9c,Ex9,3,2,0,1
188,9d,Ex9,3,2,2,1
189,9e,Ex9,4,3,1,1
190,9f,Ex9,4,3,1,1
191,10,Ex9,0,0,0,4
192,11,Ex9,2,1,2,2
193,12,Ex9,3,1,1,2
194,13,Ex9,0,0,2,3
195,14,Ex9,3,1,2,1
196,15,Ex9,3,1,3,1
197,16,Ex9,3,1,2,1
198,17,Ex9,4,2,0,1
