,Hypothesis,Expert,Magnitude,Relevance.A,Relevance.B,Reducibility,expertnum,Relevanceboth,cvoi,Priority
1,1,Ex1,4,2,1,3,Ex1,0.5,2,4
2,2,Ex1,3,4,1,3,Ex1,1,3,4
3,3,Ex1,4,2,0,2,Ex1,0,0,3
4,4,Ex1,3,2,3,4,Ex1,1.5,4.5,4
5,5,Ex1,4,2,2,4,Ex1,1,4,4
6,6,Ex1,2,3,2,3,Ex1,1.5,3,4
7,7,Ex1,3,2,1,3,Ex1,0.5,1.5,4
8,8,Ex1,3,0,0,1,Ex1,0,0,1
9,9a,Ex1,3,1,2,2,Ex1,0.5,1.5,4
10,9b,Ex1,3,1,2,1,Ex1,0.5,1.5,2
11,9c,Ex1,3,1,1,0,Ex1,0.25,0.75,1
12,9d,Ex1,4,2,1,0,Ex1,0.5,2,2
13,9e,Ex1,2,0,0,1,Ex1,0,0,1
14,9f,Ex1,2,0,0,0,Ex1,0,0,1
15,10,Ex1,1,0,0,1,Ex1,0,0,1
16,11,Ex1,2,1,0,1,Ex1,0,0,1
17,12,Ex1,0,0,0,0,Ex1,0,0,1
18,13,Ex1,1,0,1,1,Ex1,0,0,1
19,14,Ex1,2,1,1,0,Ex1,0.25,0.5,1
20,15,Ex1,1,0,0,0,Ex1,0,0,1
21,16,Ex1,3,1,0,1,Ex1,0,0,1
22,17,Ex1,4,1,0,1,Ex1,0,0,1
23,1,Ex2,3,2,0,3,Ex2,0,0,3
24,2,Ex2,2,3,1,3,Ex2,0.75,1.5,4
25,3,Ex2,2,3,1,3,Ex2,0.75,1.5,4
26,4,Ex2,1,1,3,4,Ex2,0.75,0.75,3
27,5,Ex2,2,1,2,2,Ex2,0.5,1,4
28,6,Ex2,2,2,1,3,Ex2,0.5,1,4
29,7,Ex2,3,3,2,2,Ex2,1.5,4.5,4
30,8,Ex2,3,2,2,2,Ex2,1,3,4
31,9a,Ex2,4,2,1,1,Ex2,0.5,2,2
32,9b,Ex2,4,2,1,1,Ex2,0.5,2,2
33,9c,Ex2,4,3,1,1,Ex2,0.75,3,2
34,9d,Ex2,4,2,2,1,Ex2,1,4,2
35,9e,Ex2,4,3,1,1,Ex2,0.75,3,2
36,9f,Ex2,4,3,1,1,Ex2,0.75,3,2
37,10,Ex2,0,0,0,4,Ex2,0,0,3
38,11,Ex2,1,1,3,3,Ex2,0.75,0.75,3
39,12,Ex2,1,1,3,3,Ex2,0.75,0.75,3
40,13,Ex2,0,1,3,3,Ex2,0.75,0,3
41,14,Ex2,2,2,3,2,Ex2,1.5,3,4
42,15,Ex2,2,2,3,2,Ex2,1.5,3,4
43,16,Ex2,2,2,1,2,Ex2,0.5,1,4
44,17,Ex2,2,2,0,2,Ex2,0,0,3
45,1,Ex3,1,0,0,2,Ex3,0,0,3
46,2,Ex3,1,2,1,2,Ex3,0.5,0.5,3
47,3,Ex3,1,2,1,2,Ex3,0.5,0.5,3
48,4,Ex3,2,1,1,0,Ex3,0.25,0.5,1
49,5,Ex3,2,0,1,0,Ex3,0,0,1
50,6,Ex3,3,1,0,0,Ex3,0,0,1
51,7,Ex3,3,1,1,1,Ex3,0.25,0.75,1
52,8,Ex3,2,1,2,1,Ex3,0.5,1,2
53,9a,Ex3,2,0,2,1,Ex3,0,0,1
54,9b,Ex3,2,1,1,1,Ex3,0.25,0.5,1
55,9c,Ex3,2,0,0,0,Ex3,0,0,1
56,9d,Ex3,3,0,0,0,Ex3,0,0,1
57,9e,Ex3,2,1,0,1,Ex3,0,0,1
58,9f,Ex3,2,1,0,0,Ex3,0,0,1
59,10,Ex3,1,0,2,4,Ex3,0,0,3
60,11,Ex3,1,0,2,3,Ex3,0,0,3
61,12,Ex3,1,0,2,3,Ex3,0,0,3
62,13,Ex3,1,0,2,3,Ex3,0,0,3
